关键词,来源,月搜索量,KD,CPC($),Trends比值,Top10最低2站DR均值,SERP弱度,自有站DR,DR差值,G1话题相关,G2可承接,意图,DR过滤,分桶_自动,手动分桶,调整原因,分桶,AIO预判,AIO风险,排序权重,内容状态,发布URL,备注
ai astrology app,种子词拓展,200,4,,,1,⚠️中,0,1,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
square in astrology,竞品映射,200,15,,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
how to find north node,竞品映射,200,23,0.01,,6,✅弱,0,6,✅相关,,Informational,✅通过,📌长尾词,,,📌长尾词,,,3,,,
what house is my north node in,竞品映射,200,31,0.7,,0,✅弱,0,0,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
juno calculator astrology,竞品映射,200,18,0.02,,11,⚠️中,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
mc meaning astrology,竞品映射,200,15,,,31,⚠️中,0,31,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
lagna chart calculator,竞品映射,200,31,0.02,,25,⚠️中,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
birth chart interpretation,竞品映射,200,32,0.6,,19,⚠️中,0,19,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
light purple aura meaning,竞品映射,200,1,0.06,,12,✅弱,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
libra rising houses,竞品映射,200,0,,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what does the sun and moon symbolize,竞品映射,200,0,0.7,,3,✅弱,0,3,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
how to find midheaven,竞品映射,200,18,0.01,,28,⚠️中,0,28,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
free transit chart with interpretation,竞品映射,200,20,0.15,,13,⚠️中,0,13,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
signs of a highly sensitive person,种子词拓展,200,22,0.3,,35,⚠️中,0,35,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
the planets in astrology,竞品映射,200,22,0.6,,28,⚠️中,0,28,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
thirteenth zodiac sign,竞品映射,200,13,,,41,✅弱,0,41,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
verdict astrology,竞品映射,150,35,,,28,⚠️中,0,28,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
best vedic birth chart calculator,种子词拓展,150,19,0.35,,,✅弱,0,待填,✅相关,,Commercial,待填,⚡快速胜利,,,⚡快速胜利,,,4,,,
sextile meaning in astrology,竞品映射,150,18,,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astrological transits,竞品映射,150,16,0.3,,13,⚠️中,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
hub city transit bus tracker,种子词拓展,150,0,,,1,❌强,0,1,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
aura colors test,竞品映射,150,2,0.05,,2,✅弱,0,2,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth chart transit calculator,种子词拓展,150,19,,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is a square in astrology,竞品映射,150,13,,,21,✅弱,0,21,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
south node in aquarius,竞品映射,150,1,0.1,,8,✅弱,0,8,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth chart astrology calculator,种子词拓展,150,75,0.45,,39,⚠️中,0,39,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
astro seek profection year,种子词拓展,150,15,,,74,⚠️中,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
11 house,竞品映射,150,11,0.05,,26,✅弱,0,26,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek moon,种子词拓展,150,23,,,74,✅弱,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
venus mahadasha,竞品映射,150,0,0.09,,14,⚠️中,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
8th house astrology meaning,竞品映射,150,17,0.09,,28,⚠️中,0,28,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
rashi by date of birth,竞品映射,150,18,0.1,,5,⚠️中,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
third house in astrology,竞品映射,150,12,0.05,,37,⚠️中,0,37,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
thursday spiritual chakra color and planet,竞品映射,150,2,,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
online vedic astrology birth chart calculator,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
rahu in swati,竞品映射,150,0,,,1,✅弱,0,1,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
dhanishta,竞品映射,150,0,0.15,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astrology birth chart calculator free online,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
vedic birth chart calculator free online,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
astro-seek birth chart calculator parameters url,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
swathi nakshatra rasi,竞品映射,150,0,,,8,✅弱,0,8,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ashlesha nakshatra characteristics,竞品映射,150,0,,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
rahu planet in english,竞品映射,150,5,,,3,✅弱,0,3,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
opposition astrology,竞品映射,150,0,,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
d60 chart calculator,竞品映射,150,9,,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astrotheme birth chart calculator,种子词拓展,150,68,0.45,,54,❌强,0,54,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
dark red aura,竞品映射,150,0,,,25,✅弱,0,25,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
2nd house in astrology,竞品映射,150,18,0.02,,27,⚠️中,0,27,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
what color is your aura quiz,竞品映射,150,2,0.05,,12,✅弱,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is a yellow aura,竞品映射,150,0,0.03,,15,✅弱,0,15,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
crystals for each chakra,竞品映射,150,1,0.25,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
mars in 12th house synastry,竞品映射,150,0,0.1,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
cafe astrology birth chart calculator,种子词拓展,150,51,0.3,,75,❌强,0,75,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
lilith conjunct north node synastry,竞品映射,150,0,0.35,,8,✅弱,0,8,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
natal chart transit,竞品映射,150,22,0.09,,13,⚠️中,0,13,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
birth chart calculator sun moon rising,种子词拓展,150,67,0.25,,18,✅弱,0,18,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
pisces saturn,竞品映射,150,5,,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
where is my north node,竞品映射,150,31,0.02,,6,✅弱,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
krittika nakshatra famous personalities,竞品映射,150,0,,,3,✅弱,0,3,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
9th house in astrology,竞品映射,150,9,0.02,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek progressed chart,种子词拓展,150,4,,,54,⚠️中,0,54,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
when does mercury station direct,竞品映射,150,13,,,5,⚠️中,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
birth chart calculator free online,种子词拓展,150,,1.4,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
astrosage birth chart calculator,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
ascendant meaning in astrology,竞品映射,150,30,0.02,,32,⚠️中,0,32,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
how to see my aura color,竞品映射,150,2,0.07,,15,✅弱,0,15,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
free aura color test,竞品映射,150,1,0.06,,12,✅弱,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
square aspect astrology,竞品映射,150,12,,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
free birth chart calculator astrology,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
how to read vedic astrology chart,竞品映射,150,8,0.08,,2,✅弱,0,2,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
cancer in 12th house,竞品映射,150,0,,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
leo rising houses,竞品映射,150,0,0.9,,6,✅弱,0,6,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
relationship life coach,种子词拓展,150,3,3,,7,✅弱,0,7,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
color aura meanings,竞品映射,150,8,0.03,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth chart calculator vedic astrology,种子词拓展,150,47,,,5,✅弱,0,5,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
what's my midheaven,竞品映射,150,23,0.01,,10,✅弱,0,10,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
rahu means which planet,竞品映射,150,6,,,19,⚠️中,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
colors of venus,竞品映射,150,0,0.15,,14,⚠️中,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
chakra healing crystals,竞品映射,150,0,0.1,,20,⚠️中,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
astro-seek vedic birth chart calculator,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
mrigasira nakshatra,竞品映射,150,0,0.25,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
use a birth chart calculator,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
astro seek moon phases,种子词拓展,150,11,,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
punarvasu nakshatra rashi,竞品映射,150,0,,,8,✅弱,0,8,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
arcturian starseed birth chart calculator,种子词拓展,150,14,0.3,,1,✅弱,0,1,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
black moon lilith sign,竞品映射,150,27,0.04,,23,⚠️中,0,23,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
pluto in 6th house,竞品映射,150,0,0.07,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
how to find my north node,竞品映射,150,23,0.7,,6,✅弱,0,6,✅相关,,Informational,✅通过,📌长尾词,,,📌长尾词,,,3,,,
sattva rajas tamas,竞品映射,150,2,0.02,,25,⚠️中,0,25,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
gemini rising houses,竞品映射,150,0,,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what does 9th house represent,竞品映射,150,15,0.15,,32,✅弱,0,32,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
highly sensitive person test free,种子词拓展,150,24,,,20,⚠️中,0,20,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
light purple aura,竞品映射,150,3,,,11,✅弱,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
true sidereal astrology,竞品映射,150,24,0.25,,4,✅弱,0,4,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
color aura,竞品映射,150,3,0.02,,17,✅弱,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
transits chart,竞品映射,150,21,0.09,,13,✅弱,0,13,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
miami-dade transit bus tracker,种子词拓展,150,25,0.7,,25,❌强,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
aura blanca significado,竞品映射,150,0,,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
vedic astrology birth chart calculator free,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
descendant in astrology,竞品映射,150,8,0.7,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ascendant astrology meaning,竞品映射,150,30,0.35,,20,✅弱,0,20,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
past life birth chart calculator,种子词拓展,150,20,0.7,,18,✅弱,0,18,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
south node in sagittarius,竞品映射,150,0,0.1,,4,✅弱,0,4,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
online birth chart calculator free,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
north node house calculator,竞品映射,150,26,0.3,,6,✅弱,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
soulmate compatibility calculator,竞品映射,150,40,0.6,,6,⚠️中,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
aura orange,竞品映射,150,0,0.03,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek moon phase,种子词拓展,150,33,,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
signs of highly sensitive person,种子词拓展,150,23,,,22,✅弱,0,22,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
planet colors in order,竞品映射,150,2,0.15,,39,✅弱,0,39,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
the highly sensitive person test,种子词拓展,150,20,0.2,,27,⚠️中,0,27,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
free vedic birth chart calculator,种子词拓展,150,,0.3,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
free astrology birth chart calculator online,种子词拓展,150,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
pluto in 4th house,竞品映射,150,0,0.04,,11,✅弱,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
free vedic astrology birth chart calculator,种子词拓展,150,,,,7,✅弱,0,7,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
what is 12th house in astrology,竞品映射,150,17,,,43,⚠️中,0,43,✅相关,,Informational,❌跳过,❌跳过,,,❌跳过,,,2,,,
career astrology,竞品映射,150,5,0.8,,0,✅弱,0,0,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
timepassages astrology,种子词拓展,150,21,,,53,❌强,0,53,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
moon calendar astro seek,种子词拓展,150,11,,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
scorpio rising houses,竞品映射,150,0,,,17,✅弱,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is the ic in astrology,竞品映射,150,14,,,14,✅弱,0,14,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth chart calculator vedic,种子词拓展,150,39,0.6,,4,✅弱,0,4,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
traits of a highly sensitive person,种子词拓展,150,20,0.02,,30,⚠️中,0,30,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
starseed birth chart calculator,种子词拓展,150,14,0.5,,1,✅弱,0,1,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
highly sensitive person coping strategies,种子词拓展,100,2,1.1,,35,⚠️中,0,35,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
nadi astrology online free,竞品映射,100,11,0.45,,2,✅弱,0,2,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
signs you're a highly sensitive person,种子词拓展,100,11,,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth calculator chart,种子词拓展,100,72,,,25,⚠️中,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
true node vs north node,竞品映射,100,7,,,27,✅弱,0,27,✅相关,,Commercial,✅通过,⚡快速胜利,,,⚡快速胜利,,,4,,,
vedic zodiac signs,竞品映射,100,19,0.02,,12,✅弱,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
exalted planets,竞品映射,100,8,,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
highly sensitive person therapy,种子词拓展,100,5,3,,6,❌强,0,6,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
south node in leo,竞品映射,100,0,0.06,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
benefic planets,竞品映射,100,0,,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
aura reading online,竞品映射,100,1,0.7,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
opposition in astrology,竞品映射,100,0,,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
aura color test free,竞品映射,100,4,0.06,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
how long has neptune been in pisces,竞品映射,100,3,,,12,✅弱,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ic meaning astrology,竞品映射,100,18,,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
12 th house in astrology,竞品映射,100,18,,,11,✅弱,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is the midheaven in astrology,竞品映射,100,16,,,30,⚠️中,0,30,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
highly sensitive person scale,种子词拓展,100,12,0.45,,44,❌强,0,44,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
virgo ascendant woman,竞品映射,100,3,,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ic in leo,竞品映射,100,2,,,8,✅弱,0,8,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ketu and rahu,竞品映射,100,3,,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
neptune in pisces meaning,竞品映射,100,2,,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
free online astrology birth chart calculator,种子词拓展,100,,,,48,❌强,0,48,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
south node in gemini,竞品映射,100,0,0.05,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek composite,种子词拓展,100,33,,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
what is the ascendant in astrology,竞品映射,100,27,0.01,,41,⚠️中,0,41,✅相关,,Informational,❌跳过,❌跳过,,,❌跳过,,,2,,,
what is rahu and ketu,竞品映射,100,1,,,7,✅弱,0,7,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
leo ascendant woman,竞品映射,100,2,0.02,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
north node in astrology,竞品映射,100,25,0.02,,15,✅弱,0,15,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
cancer rising houses,竞品映射,100,5,,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
planet numbers in astrology,竞品映射,100,13,,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro-seek birth chart calculator online,种子词拓展,100,,,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
north node in taurus meaning,竞品映射,100,0,,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is green aura,竞品映射,100,1,0.03,,11,✅弱,0,11,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
horoscope astro seek,种子词拓展,100,9,0.09,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
how do you know what color your aura is,竞品映射,100,0,0.02,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
9th house in astrology represents,竞品映射,100,16,,,32,⚠️中,0,32,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
astro seek cartography,种子词拓展,100,43,1.5,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
power hand mudra,竞品映射,100,1,,,16,⚠️中,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
1st house in astrology,竞品映射,100,11,,,39,⚠️中,0,39,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
astrological birth chart calculator online,种子词拓展,100,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
north node astrology symbol,竞品映射,100,17,,,30,✅弱,0,30,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
whats my north node,竞品映射,100,24,0.3,,5,✅弱,0,5,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
rahu and ketu in astrology,竞品映射,100,0,0.1,,21,✅弱,0,21,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
elvis birth chart,竞品映射,100,2,,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
pluto square mars transit,竞品映射,100,0,0.06,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
most accurate life prediction free,竞品映射,100,20,0.7,,25,⚠️中,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
birth chart calculator online free,种子词拓展,100,,1.4,,38,❌强,0,38,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
hasta nakshatra lord,竞品映射,100,0,,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
essential dignities astrology,竞品映射,100,3,,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
my aura color,竞品映射,100,3,0.04,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
lilith birth chart calculator,种子词拓展,100,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
cafe astrology compatibility,种子词拓展,100,24,0.8,,50,❌强,0,50,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
vedic chart reading,竞品映射,100,22,0.6,,2,✅弱,0,2,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
virgo rising houses,竞品映射,100,0,,,7,✅弱,0,7,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is 9th house in astrology,竞品映射,100,9,,,36,✅弱,0,36,✅相关,,Informational,❌跳过,❌跳过,,,❌跳过,,,3,,,
professional astrologer,种子词拓展,100,19,0.9,,35,⚠️中,0,35,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
saturn trine pluto,竞品映射,100,0,,,22,⚠️中,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
cancer ascendant woman,竞品映射,100,1,0.02,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is trine in astrology,竞品映射,100,7,,,27,✅弱,0,27,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
neptune pisces,竞品映射,100,1,0.04,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
chani birth chart calculator,种子词拓展,100,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
astro.com natal chart birth chart calculator,种子词拓展,100,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
